class,parental_education_level,household_income,number_of_siblings,parental_involvement,home_study_environment,language_spoken_at_home,primary_caregiver,parental_employment_status,family_size,single_parent
4,4.197201998851034,69666.5743729253,4.713381111163138,8.71208342140605,9.129797371881473,4.025158782461583,0.031246618969337447,0.46920198735275565,11.787924450990802,0.1059905484499587
4,4.606463685175565,67125.08421298867,4.147613756226736,9.12470265771796,8.389058023158103,4.955837036975037,0.09890026106951932,0.7426769177482193,11.708703133601063,0.8330565967356205
0,0.7412511707164868,24190.680998430704,0.3408793803072381,1.9923960991713892,0.15281145434958399,0.07093247205258124,0.33484152874022843,0.9998392904764046,3.9417230177535134,0.7625815268701597
1,1.1308610663246605,39484.00175345424,1.0202314617051123,2.5116976975732594,3.1864980308052515,1.6101630660198327,1.0739675331486778,1.7105383592741634,5.4129312286876194,1.8206290338183035
4,4.7976215146845345,69685.72015049198,4.721755003225991,9.409914245149983,8.050423664478858,4.102203211730515,0.987589709495422,0.6780504160393229,11.290929092424031,0.299694531685612
0,0.20859332001255793,29351.167434991574,0.8806830470511753,1.5159899955513414,0.13092896972822565,0.28414767858956835,0.5804122081451776,0.6544377156800809,3.8469932757915535,0.7036616256009703
0,0.49167729290845996,24118.190023100804,0.5685283176880342,1.1689969593593246,1.4044381639334012,0.18581745729879473,0.48734367114298405,0.6952116698473576,3.8927862896126486,0.21992284774856496
4,4.856482449878153,67897.07673968846,4.025872105892631,8.194951375802361,9.077747682802606,4.553716915158876,0.7855117848990438,0.34211246743083246,11.754975685767205,0.011311536261484623
3,3.1934245110426924,56541.7935903406,3.217625312549533,7.144746994690594,6.652590531308753,3.8870753451221,0.9769592068119898,0.3202197436664187,9.722945687639646,0.8664887756356681
2,2.2418846479827876,41797.06665885587,2.438469135294928,5.906928951344975,5.078455885336847,2.635622307797716,0.9551300000847747,0.7843379782705063,7.343406510887456,0.523525487055993
3,3.0627711564991915,55355.14901677154,3.5875812205614857,6.684120288777347,7.183298655049839,3.664188019506261,0.7930648847886961,0.05308801735296553,8.00321189447929,0.9836533374820884
1,1.1466141117831303,37476.91009128637,1.496276342470471,3.2793762527588566,3.130571732488933,1.9089314962133026,1.3771742369608764,1.759247738203384,4.859034100659305,1.3850356949037468
3,3.1465258197813686,58959.122759653095,3.9158660464112716,7.918795464850497,7.285108023030981,3.7494252279711056,0.0659594915779067,0.8138415851695685,9.271325542358696,0.9568730069894703
2,2.2034275021541374,48625.98370406553,2.9386363164015052,5.595980562469494,5.880576200380735,2.8659558363840327,0.09837697772908116,0.5215979595862678,7.09425476088921,0.6150572634725594
2,2.286200397064984,41546.58500185482,2.1071524625391653,5.376615459394086,4.777555040168051,2.4163920918598656,0.0011523407945874808,0.9101480954130152,7.642253259781745,0.5122050718368634
0,0.8149833644785408,24880.33246485211,0.13839087820733864,1.9422977575366283,0.6023028269151522,0.8653563377721201,0.001902843224855899,0.4730874371471845,3.6378045530282597,0.30280960317974737
1,1.9157638641811174,34782.68629460785,1.3580549122323982,2.3411659105976,2.076869822060339,1.6458613885658444,1.9364217989334618,1.1780866680958444,5.197364018923212,1.8252763412727409
0,0.40628060922895026,28987.37061897922,0.42123488190059455,1.5454975769996773,0.2941461137135337,0.1356077827413381,0.9270169692074991,0.3613986487066728,2.0439881065181273,0.8287947463711232
3,3.1282089519883107,50019.37309136867,3.5860666926611255,6.813671534645547,6.212499631762285,3.038712508367066,0.6675537997048021,0.9058675059310862,8.738659904669436,0.41692953220351137
