class,average_income,access_to_resources,school_quality,neighborhood_safety,community_engagement,public_transport_access,healthcare_access,internet_access,library_access,employment_rate
1,32358.92904072519,2.108405327008785,3.2640915782950266,3.466679950905365,2.10374086142132,3.408292273290238,2.8652307824391565,2.6076786149733517,2.312695939501112,0.6687004848088682
1,32682.782125127134,3.175537285936336,2.4379242499758034,2.9066779974325936,3.148372254545024,2.052960156106087,2.0031816530315476,3.174232428836935,2.5496117348439507,0.6804236496979941
2,41575.08638106926,5.506997075172403,4.723333074333007,5.048247835327993,5.917756638236916,5.458755155749407,5.675436597050167,4.033154943371176,5.020886846057851,0.761392462798348
1,34810.58196195369,2.658631983344613,3.579929613479565,3.3901501575097575,2.029262359010447,2.771700418408071,3.199328322582171,2.817532572631056,3.762286868453681,0.6202494681910523
0,22836.879596167088,0.9766988181613843,1.4778623629742285,1.6248100101027945,0.4805159768449092,1.2226155307851791,0.33711712544060823,0.37366027046558514,0.08577607176988034,0.5110288420146444
2,49932.87975727257,5.857523676449893,5.153164739011285,5.318902773050899,4.63213557992824,4.619076144176676,4.060279386354158,5.93423701702527,5.013839919131442,0.7859899697033387
4,65799.6879336544,8.942217728351105,8.289535005481124,9.954983987780185,9.53167777578195,8.318210078305299,8.582964862083463,9.16545831850062,8.10202442501686,0.9234687413551741
4,65664.77825054241,9.993108122786778,9.606578594629008,9.639645175596566,8.646553844936324,9.447025036178564,9.85577419094733,9.736190937660645,8.913645352898564,0.9020082430677497
1,32208.696301064552,2.314004822715346,2.615085057105496,3.5543204092157503,2.478167726392628,3.8092407605401735,3.8669823400712247,2.391379973539224,3.2577363186652737,0.6642902108154252
1,34086.894387149114,3.417867804966578,3.5431958779983246,3.690203157962051,3.297116028934082,2.3671648874000697,2.622006972604236,3.6200313986475754,3.489446382856615,0.6152885329864313
4,61239.7799436,9.305237196394508,9.295132731524518,8.562421870848699,8.092810577921998,9.8414060024072,9.671861985641433,8.829564922610466,8.277064010521254,0.9990969819764575
1,37625.29252250386,3.7446096270526543,2.5283405632870366,2.864094307896761,2.341193719917494,2.2803642184090878,2.883690646514191,2.355389377698805,2.333150566922696,0.6869730831739411
1,33311.59246153477,2.1848864239810815,2.424738456265313,3.1289258367891817,2.8160604573388874,3.4713237650990623,3.308689498273189,3.5224904047764656,2.9401298433835814,0.6608445726001217
3,57519.6583339321,6.560413183003633,6.261819846515437,6.924772636885371,6.711199924680062,7.918890316358012,6.66888775174218,7.524022195230562,7.996072915958148,0.8833865642608544
4,63716.959999294755,8.264358451520671,8.483892473176232,9.69491563644816,8.694331638366727,8.294741763512475,9.03194519254197,9.991775813728122,8.712093671313527,0.9470535700768696
4,69887.57240114846,9.866190244543843,8.31565804489828,8.054137035358464,8.217110026239324,8.870180093510706,8.587558893100653,9.561874523596329,8.85505485472582,0.9788486244462435
1,31711.216222546216,2.853270649290514,3.2341024955755024,2.4183508344656417,2.721680038899593,2.674914964716799,2.1222287247129255,2.2905344958542555,2.864893485629103,0.6646533552397151
0,20015.238938833314,1.8201316910701382,1.1975662379545071,1.7634130820037097,1.5959855439828055,0.7769555003681963,0.2787563723830777,0.6450894835714565,0.16140164271419088,0.5028644647969656
3,55948.25541378386,6.588813988717646,7.172344120265595,6.118200275353934,6.827688403594791,7.506279478263553,6.581348988946474,6.903453834582292,7.5483442905799905,0.8948757667552842
0,29529.532000878382,0.25273620272330377,1.2837796184496768,0.45397660721759614,1.17234236963137,1.3223778651111187,1.9525075679522599,0.2533056114195902,0.5062030488522149,0.5860919578196687
1,36470.54054905979,2.5930745459720326,3.6295690679291326,2.7025006607529725,2.327158818634635,3.9373739289256386,3.9313443004999833,3.576077948895628,3.40733411376584,0.6953407390593221
4,60857.23522748181,9.194348718656098,9.827105423099606,9.501481121623382,8.139422726937152,8.370959006712845,9.655326684969062,9.053397075825172,8.950179757671181,0.9731365934560816
