class,heart_rate,steps,calories_burned,active_minutes,sleep_hours,distance_km,floors_climbed,sedentary_minutes,light_activity_minutes,moderate_activity_minutes
3,99.32118282483613,13148.970164188047,2421.9244686081047,100.64583751902909,7.164286843272409,7.271491706199802,39.61611442254447,693.6853430091015,256.8483317272118,167.77255079165917
4,105.6513318358921,14216.25300799602,2886.702979385174,112.06530017750097,8.783161430923696,10.954876368408025,43.12844628005668,716.4525372392812,325.3385020358894,189.36036869751823
2,86.96650823876892,8213.770183295775,2394.3533510286884,73.45047753892725,6.122497861965989,6.928706468071973,20.980445381109398,523.3580434222359,206.32726555981887,122.44207407589981
4,109.22499381177296,14036.325425704663,2757.0322949351184,121.35948594632161,8.634906659153163,9.327457915758341,45.26817166050414,726.3473445693849,323.83102281552704,197.91053531399203
4,107.07238634313399,16869.50419489844,2937.778534886515,115.92715227026576,8.123846026705817,9.598846249606213,40.570990784451766,703.7820136552035,338.1807649480828,193.54648950163383
1,71.52539042914262,7212.525078377021,2072.369638133886,68.76631457302632,5.070535637592957,3.2003099950135336,11.105431663085806,412.3052123590325,162.91321789435818,86.00026763338244
2,85.76288360166814,9059.754225506193,2383.1104778460663,86.37480458968102,6.909429503685876,5.543435197796359,22.193893891962464,598.6349922944162,224.03930840898636,113.92527084046459
2,86.06715046382855,8889.606743862965,2388.040681321634,89.67134413027327,6.190128766318706,6.6319115788304135,24.643502498821416,531.5216737377286,249.60079846984178,130.27434907228198
2,84.24130671302386,9049.109689237548,2256.4378916164414,75.19341677900827,6.821250154559705,5.756631214330519,24.332509323090278,511.5301090339049,234.33252116770186,126.79649496730951
4,107.36444235624722,16323.960593543547,2993.192372397451,129.39447265595953,8.544630871107136,9.176793934293517,47.99691862002791,710.6991261174624,342.06783856525993,193.69020841378267
3,99.34367014769015,12984.111833211244,2627.1930621403317,98.62467739583116,7.07785651960877,7.6844510495578096,37.39474653884113,671.9459967669972,270.7423803280273,162.1641515023606
2,89.25568512906776,8555.586703602403,2148.5014308710884,76.9503759062751,6.955448191438068,6.96276666848256,24.26318293990701,585.456866403264,238.39304615629277,128.75634601572546
4,104.50839371404132,14522.328006002253,2843.070031940391,111.00699053938706,8.246961166991893,10.259367190518406,43.3370420757563,725.695229950847,302.0254586470661,199.59146514886677
1,71.13238045840755,5295.186949140192,2015.4993526116011,51.05530515719205,5.8596453453526065,3.8323218928123155,13.164687840614986,402.09095123352347,156.14555912711225,96.00769190331226
3,99.84841198962334,12980.908159104014,2474.202094745725,103.84022511893309,7.1688100057845645,7.33307702699454,37.73995087294009,622.3090018445356,260.1535296460031,143.3931726950516
1,78.38898086445934,7293.117986665207,1992.1845550646663,59.158579888680556,5.853942882141853,4.972353594567389,10.520724062212697,405.6515690796757,170.09759623076098,104.84820694447964
3,91.24662681203267,11795.139284975012,2599.980143713986,94.53043252072212,7.013228812905294,8.641698018526258,30.12821649510606,610.3394936630042,292.28724391628816,147.55560087037128
4,109.20841882617373,14062.834883092739,2748.80992314257,122.27940612650465,8.51178045656948,9.562954604901838,47.95544391926648,743.1508119847642,317.31330253939655,193.31906444431755
0,68.69896362062129,2246.515002429282,1669.525593735827,35.05716236500223,4.769442579421557,1.140137391442379,4.7714637598904925,322.9918370861633,132.73105967577314,78.71321288000155
3,95.18838057126072,13903.58010453509,2631.488073293582,101.55263508688846,7.934795517492783,7.113251114755116,31.30881138553576,651.5945878525423,285.4657147401742,160.90386541893025
1,75.91275435744929,5886.33433243226,1949.6686993607825,57.18417493965381,5.909202136206487,3.2407562990110677,12.355659345945012,425.34937532571905,179.30911770441708,97.88090482849404
4,103.9900270387013,16307.669443514402,2703.6309350328324,126.47104453223638,8.819624869547646,10.161537167228843,49.325039530973825,794.0537301102947,317.8620984085068,183.81158527025121
3,90.54761638822032,12873.990706562792,2402.7115407237875,106.41392321533559,7.888191349661304,8.857526842410985,38.59502975624898,690.5943967926264,278.85266708567724,150.9322959798621
0,63.351972416459006,3145.8189189586874,1607.1088031910037,39.54700796244803,4.199219685837076,1.993486856011969,7.097850502239726,356.6806105010466,117.1132796394873,60.59014252915509
0,68.02853448598012,2617.061786586665,1777.8582205295347,37.01638218670031,4.284184295711729,2.685890964912394,4.822252303373266,335.4423991987386,104.19368692760061,69.09118117128772
2,80.04632023004604,8364.15925447822,2168.6030338810824,77.2511959311819,6.288968524921058,5.891773239719615,25.203236261913858,538.1146882034735,249.64019890930072,132.53819350813237
2,83.33499171691145,9845.0389041166,2290.309106661506,86.11429051336435,6.377053931001699,6.41716709153565,29.752445352839587,541.1852283144497,206.35912268162554,130.35551208453242
1,73.98168693590944,7323.901341913364,1866.622761207996,56.56358965595224,5.393320670385188,4.463745474573002,19.65770443884287,472.7579322134944,153.61741919180287,85.95230303580688
3,95.37395602937923,12931.712760623392,2496.5009968978648,94.18118747413692,7.5445553246546755,7.347927411806677,32.15269045785834,645.1638995518838,293.9265374603578,154.81961540430473
3,99.19855616412761,12590.906399747475,2654.4126268804453,91.69376683750613,7.159879763366441,7.722432117951623,38.11104566305318,685.6729946505898,265.09173304464474,163.74920216549188
2,83.46345994365961,8125.853670294909,2318.658432680984,79.33386241768817,6.691246663785989,6.274604313076048,21.97242666167017,594.4094785930365,232.5148487036754,124.27112234567169
3,93.46953201896228,13905.466332783151,2428.619783193963,99.64264197839684,7.167566539304507,7.141393216368733,32.13537477883951,633.5946153378934,266.45028648311165,156.09869839206482
3,97.37501248109749,13396.142574963724,2528.61060629593,106.81817420805814,7.310308482104547,7.723080375525913,36.76093034164577,656.069448137568,269.57271353972357,163.13408144512465
0,64.52217940889807,2878.466110102894,1508.7509290935793,34.42477392892128,4.503345130606154,2.0695989325623847,4.050010985875484,309.50565368325647,113.10564860083983,69.83795918795275
2,82.24604822939982,10939.910988076552,2244.2670439809026,77.619825473368,6.796440561523477,6.992448986089277,29.3154440710652,520.0469047766359,217.15220028965052,122.28034762647178
