Current_cognitive_state,Past_intervention_effectiveness,Sleep_duration,Physical_activity_level,Stress_level,Social_engagement_score,Cognitive_improvement_rate,Engagement_Label
28,0.19073435623671287,4.7015000552023345,1.8023531263506753,2.313163336856465,67.41781818312725,0.2,Moderate engagement
16,0.5035262529392605,7.832607842803958,8.195826032894189,4.556491073230706,90.78573136762108,0.2,High engagement
16,0.3869933102124624,6.002677426211826,6.917835215176913,3.392319099972436,82.14696278718118,0.2,High engagement
22,0.24645402270842204,7.838627372999685,1.565647860326607,4.297294614369146,0.7650211711101917,0.2,Moderate engagement
15,0.4445665972919584,6.66525240081575,-0.6573939574272609,3.4621808950976782,52.15420621902657,0.2,Moderate engagement
26,0.7043841894429265,9.591491622307778,2.8124247561766045,1.7302175696509012,59.47750694532222,0.2,High engagement
27,0.7878824941113405,6.869317400272484,8.780723387538465,2.311852657580155,38.35439339290427,0.2,Moderate engagement
16,1.03363622269542,5.4238685808227824,2.6187250336676806,3.843084399828572,46.93279212498551,0.2,Moderate engagement
24,0.14932736816284475,6.0619017469521,5.194561426400608,2.9744028241348266,56.29333945205862,0.13228945954807034,Low engagement
17,0.5833869658992957,5.769168879694378,5.430377670695352,4.549135254935105,56.30465811010725,0.2,Moderate engagement
17,0.6289368610446779,8.178080438058162,4.463666090880252,4.173460160172379,73.62352309322527,0.2,High engagement
23,0.8869206069381177,6.728443497519279,8.044691872787078,2.715185438568529,31.508904265238804,0.2,Moderate engagement
27,0.713812132594541,7.8411466420113225,6.321511330061001,5.479141795299719,47.27772560655045,0.2,High engagement
20,0.9515023758633477,5.969636763158186,2.2400508672704316,3.691025097483233,82.72106143381116,0.2,High engagement
27,0.4485677182644062,6.605352025397766,1.8418392382624482,2.7095727342005738,71.57504620265209,0.2,Low engagement
27,0.5129445442766625,7.29916673967566,8.04037045417137,3.6333327200952303,42.61602180917076,0.2,High engagement
22,0.3647533848706314,5.761633482497551,3.5432344657505865,4.633960534670486,72.45205555642357,0.2,Low engagement
