HR,Mean_RR_Interval,SDRR,RMSSD,mHR,LF_Power,HF_Power,LF_HF_Ratio,Total_Power,Peak_Frequency,SampEn,MSE,Poincare_Plot,Recurrence_Plot,DFA,QT_Interval,QTc_Interval,PR_Interval,PR_Segment,ST_Segment,HRV_Triangular_Index,HRV_TINN,HRV_Total,HRV_LF,HRV_HF,ECG_SQI,ECG_Signal_Amplitude,ECG_Signal_Duration,ECG_Signal_Slope,ECG_Signal_Kurtosis,index,y_grad,y_stress
76,0.7312412073760862,0.07913477598246853,0.03200915099361937,80.9495364741833,0.11556696214647083,0.35180023363965846,2.0240385559058582,0.714325582323519,0.3133872969112745,0.98295044492059,0.8426740314310589,0.3464501292804739,0.3359607148483123,1.1242971661343826,0.3590484281601204,0.43322202305813157,0.18554144044107737,0.16879581478667205,0.1669365630204745,9.107075932309009,0.45922781491245435,4513.868860791235,1614.2669712193504,1864.9962658501736,0.9795684144889214,1.9241608357558884,1.1904533516818618,0.046806925174023684,0.28629995960166427,0,0,0.49168856216533086
83,0.6299202899053905,0.15371240862697283,0.03308155105911495,74.20877249743207,0.041921083199167056,0.28222121650444076,1.5819603540191924,0.2821995113601547,0.10085504043375626,0.7741994528119147,0.6666535118217207,0.1023924525917487,0.15399166498021163,0.5920232438281144,0.3185459771965351,0.3568024245798456,0.16051674338652838,0.14550097133543027,0.11329905647283438,6.5857199645534035,0.261418557882346,2797.881849665602,629.996585223807,654.7519958630706,0.8470494038505809,0.977536150120443,0.9890881959872142,0.011308800455862031,0.10624083413492637,1,1,0.7321548819316668
60,0.910883032293603,0.07197076349468978,0.030493399090809743,83.24135173832796,0.14907895148822972,0.38155831402352886,2.210482836292659,0.848107256490805,0.3380663004309965,0.9784984920006619,0.8724703237418936,0.37605297572266416,0.380941152769685,1.2789429631876432,0.37562250194167307,0.44420064658497627,0.19186774700558223,0.19124589213874305,0.18393299315649914,8.100873696308943,0.39125131606915964,3492.545843797947,1501.1019758918421,1932.2335806686297,0.9475393425825299,1.8138540197551638,1.0689291257433062,0.03135670257314765,0.29206594555083576,2,0,0.6183223381401807
79,0.7158411881405584,0.09661357951671096,0.03813796862781256,89.77422947713748,0.14490720853325786,0.368607315542272,2.6964422090375577,0.7429895029042975,0.3527572193219459,0.8239664893412757,0.9826712395069781,0.47101958212463046,0.30976717413606275,1.1114786038451052,0.38272937784363587,0.42555787021191394,0.1869572995726325,0.18448611928233294,0.18647400456342506,8.194822260823253,0.39331870887481124,4281.697245568555,1645.5618219492271,1873.6549259404478,0.9420614509464755,1.7665313612414688,1.1659683545423505,0.03977614619214939,0.2041540694395899,3,0,0.41816566543907496
72,0.8459792986731259,0.08259546093058953,0.0344139814957067,80.37352936435555,0.14763327140491833,0.3440006318599353,2.309779566647796,0.7404539087556171,0.3029317608778786,0.8550254818758667,0.8952386927113112,0.3156057328571136,0.4932499255652326,1.3015650894643347,0.37284547910423094,0.4438522722484995,0.17968051083951156,0.19189168409604393,0.16264977522121177,8.750098065051535,0.4561872468399582,3309.582272013582,1585.66897829154,1868.2548826705251,0.9202232856941411,1.6955256308965414,1.1106628873488282,0.043728451016288576,0.22624708662146156,4,0,0.04039805580016653
82,0.6041342737783809,0.07855054626425714,0.02891383580493493,71.47551846828699,0.09815532782318086,0.1928859435592468,1.6519543449841703,0.38752064724745094,0.254251443983575,0.750781156357569,0.6738612284095384,0.2658161980220075,0.29583312527102834,0.753248000736261,0.3441454065912265,0.39246715824001743,0.15614617150287113,0.1362945305132197,0.10472833132264867,6.046170517360125,0.23898512498716012,2184.0256252407416,887.6774208090187,1249.90963767243,0.8601385375104423,1.0553472646181752,0.8243833060902709,0.0152559160976879,0.10363703836200852,5,1,0.3005932890641779
72,0.8806436932157443,0.09750826144602748,0.049919872982013995,81.13135937674024,0.13934640529483308,0.37716649382727024,2.3369138365914606,0.9920521550720709,0.36750548307334663,0.9801369096575223,0.8668677560830471,0.44021658982827866,0.4872354555812944,1.403053432372628,0.3727206408646834,0.4326761107320314,0.17261854619976397,0.17979051423650472,0.18609298265131052,7.7729612174208444,0.47331278744392263,4098.651338024045,1579.096168195434,1900.4268166129652,0.9386098341776191,1.672728973905753,1.092077165554044,0.03326311292640828,0.2640097656586241,6,0,0.9192514233411815
73,0.7068798433804125,0.09328871432547844,0.04601072210253496,83.51378966758108,0.13099489758801738,0.3517907160640286,2.619695855404297,0.8140350576623692,0.37667705451413325,0.9368277576746115,0.8453057290453999,0.3962814426564594,0.3602476725293521,1.0298489111399571,0.3890764109362328,0.44783625746547057,0.19944306163140788,0.17577277245984554,0.16492403645807469,8.75128023607949,0.4291065216681667,3779.967162620439,1917.9088091086799,1974.2645802327067,0.9197966811032738,1.7134831646633257,1.0037332467485847,0.04133570135095404,0.2608126734201882,7,0,0.2228624608452493
62,0.7966324012687556,0.07391503792351553,0.04691284183248843,89.9822245060905,0.10413675415311206,0.37043860785173766,2.285927559653988,0.8697984514807575,0.37100355846022015,0.8209651699044986,0.8990406017702072,0.3510350887213216,0.46628531893962283,1.0985816559062322,0.35167571536726794,0.44716895953548896,0.17551991783858192,0.17373632742217296,0.16112180767933626,9.205610903581123,0.33717829194026766,4490.4045705744375,1941.4528401626274,1568.4358602880732,0.9826562796944666,1.9498549283011704,1.0160680606447272,0.033258435612479584,0.22461061656323536,8,0,0.6139546436854959
81,0.7256868094837998,0.11462874130734062,0.03514378239363939,73.66456920753191,0.06884445474458337,0.229529033175071,1.3561058995189594,0.5123177793440881,0.2817561886422346,0.7949580229244331,0.7469587990820636,0.15438080888029876,0.14661912003130834,0.5628452567822699,0.30245993333224386,0.37297691050963233,0.16865583430046913,0.14989910435639378,0.11225884621450229,5.539047229072771,0.18798161052860418,1406.4724395902872,549.7291330439849,1282.861212356503,0.8266864125307297,1.4878752305803076,0.9575056530215542,0.024267408385874187,0.1517572079247729,9,1,0.9074427358913096
