class,math_score,reading_score,writing_score,science_score,history_score,gpa,attendance_rate,extracurricular_activities,class_participation,homework_completion
3,88.38412731167371,81.51992561444678,88.85747533718832,85.22110547057044,89.87344500151116,3.4443342996619095,0.8632579364220286,3.569944716415761,6.206681162908357,7.595628132882635
4,98.55511175386508,91.74182206652928,92.98257156376485,90.08822588930342,97.17473609266412,3.734152743689317,0.9368163513851288,4.749767558334247,8.538512365197963,8.714070685217777
0,33.24158108428512,4.019790369590162,29.847619332692172,19.42861517584028,26.298933407665036,0.413848744572167,0.5734520157847433,0.6703759104353387,1.138884038042487,1.8721734718254528
1,55.97929805067491,54.76363454441835,59.80330424510811,56.75341258910368,51.408994697446886,1.5780949074597088,0.6494885641104835,1.2768067971161536,3.8936106021826578,3.684981728070648
4,93.62228363938661,97.06122278491857,99.99816719362678,92.19644543051243,99.97366181549704,3.628606839375814,0.9018066635095864,4.255643671558962,8.598330166128294,9.817636525603373
2,64.34924167182776,79.72725803393763,70.66959496538664,67.02415136772827,79.60918341709154,2.3534365544904343,0.7608581597875645,2.464141798063434,4.610782342743208,4.58898543000708
1,58.5760803999558,50.440468353286974,56.53111593572196,40.41142929375391,50.76230250989043,1.2138352556671306,0.6830459590429361,1.7329696677216548,2.962359318224385,3.1474630876443803
1,46.14000365696668,56.52829857697763,59.80499735842399,59.53855028467591,49.10366694668524,1.5718099946076838,0.6236801770060451,1.0938273065759643,3.8370846701983776,2.6428990360847147
3,83.98407682164031,85.76439858642787,83.74672889841982,80.66651797128041,84.62114922701753,3.3486937807846076,0.8221063755085185,3.9483265830361622,6.838110101178178,6.513897023161695
2,73.99117918903266,77.48173425054874,65.04819170140611,77.96442247819138,68.56684780646731,2.6736986409905716,0.760888618311927,2.5431531237064315,4.446458783721866,5.214173562405101
3,82.93356079993987,87.21021039302751,81.14233355842183,83.12987714180454,85.31398306996323,3.127408908982381,0.8817979276425494,3.306408394933501,6.326261829963543,7.635990761199564
2,76.38260443122002,72.85768029982506,62.81799276146252,71.75112803971757,65.47168535628741,2.779648205747967,0.7249620337843575,2.693391230881426,4.914030738544963,4.1871956122533085
1,41.400692472635626,51.302453419661006,57.071127272413264,53.58631079932007,58.53577566228853,1.2559536652499301,0.6932262651243039,1.0447258162431017,3.601354871460299,2.5515375227321426
3,87.91182667388935,87.22970524442975,85.88723090307074,81.40829167431114,84.90230081461935,3.0751557756338816,0.8927387356681549,3.484396915783063,6.58270480944878,6.410268361772254
4,96.01851322617804,94.1965384267101,98.73709175392486,94.43759377780336,98.42007811838609,3.674904374343597,0.9200536671907934,4.485969647463809,9.025045278461286,9.59670034631213
2,71.45987288227185,61.93153161411328,75.78910178064336,66.50932200493284,69.5060734933524,2.5977440891708827,0.7263784412056815,2.1619752849093503,5.206016544845098,5.8667441461844385
1,49.167540782773216,40.799722575956814,53.47489260096036,41.13204931210931,54.36580547820486,1.142001818804398,0.6700598810948161,1.837387815941883,2.9009408233157945,2.159885420366718
0,11.081823851336896,19.160949264366955,24.372487676274428,33.32774617572723,13.4752785790632,0.6480871121084563,0.5951733109024426,0.7968121186802541,0.38338048270657876,0.758426829414482
2,69.28140570862473,71.98583164440282,60.966778083561856,60.90335512994955,72.4961371546652,2.863067996253491,0.7709882688776315,2.152732394453709,5.843491355869711,5.829018085437314
2,69.00057024037375,61.57698061141251,77.44550392006384,73.06515918967733,69.9674289090184,2.2931405102580706,0.7444900049820538,2.3638272935633777,5.130898470468968,4.689276441092597
4,95.8375418878307,92.86903548912102,94.17842061679714,93.14077376419847,93.6711425653361,3.7251033080575597,0.9169001346426503,4.100429556630888,9.458268767827771,9.425322872627406
2,65.6314857171106,66.44064411950974,71.19573714142784,63.84258654403733,77.63112522136002,2.2283104256251782,0.7461009848839621,2.8486087568391967,5.272086010875865,4.201332773038686
2,61.55191163952298,71.25591070416502,60.43907003754042,73.3417210267109,62.25423365497818,2.361261729070395,0.7606767791970555,2.3233201037486406,5.996096043455148,4.888775063224284
4,91.45089446639139,92.7848245604279,99.36073501862788,95.74537714526205,94.8692314831911,3.5109852854012535,0.933095191895665,4.439316307857653,8.912620268877312,9.006601551183257
4,96.99177431461572,90.95648599556007,99.02740461092002,93.1525625737483,91.94369073266137,3.9768846981064137,0.951025782120009,4.323871950020567,8.849944746598187,9.51532815597012
3,80.2249232963554,81.6485674094655,85.43278029918106,85.12960748259239,88.61055091217591,3.2079451066060978,0.8130214128328707,3.310026016464951,6.720279732180012,6.577649301159653
1,57.1288608929086,43.478956032083865,51.54623266336715,44.924742024124185,45.06938689431327,1.7888701098180801,0.6452188104512586,1.7473022537485892,2.7232569186805256,2.528377145101054
1,53.88794654959827,56.85389888445523,54.100344248069774,57.27392918005384,52.66860680223643,1.1426434373565098,0.6090775818929554,1.747566234179823,2.5515404214344732,2.605935340391663
3,87.68086541307716,82.84319686978291,82.6469489643615,83.13818780327162,81.65563515085354,3.4061775220501995,0.804908874994899,3.5177881704805696,7.961260250293094,7.111393017587481
