Student_ID,Date_of_Reading,HRV,Skin_Conductance,Brain_Activity,Eye_Movement,Physical_Activity,Facial_Expression,Self_Reported_Attention,Distractibility,Engagement,Motivation,Cognitive_Load,Task_Difficulty,Emotional_State,Distractions_Environment,academic_performance
7,2024-09-10 08:10:41,73.44897466568034,7.576912393816711,-3.351494164160522,-2.883849615985952,3.6697309333256163,-0.7066433088229277,3.8042064942366207,2.458218062117919,2.9251391484362266,4.164239257539545,4.315430780118758,3.8886101920313543,0.4194463878063041,0,1
4,2024-09-22 08:10:41,90.4653281898685,12.206978238392725,0.9220983252697446,0.6228720396649686,-1.6053434196578569,4.356265148354884,4.222457081803719,4.278458290254638,6.128137349287294,5.167972393152661,6.467663120982552,5.87795320808472,0.42947223590908756,1,3
2,2024-09-03 08:10:41,81.17085928966002,8.977388804916906,-0.6754102686882256,3.2956060806664134,-2.9982008971794825,0.12408504414404942,3.9110622330592406,4.4982052657340725,5.520554000305662,2.542982157649437,4.444632298131715,5.235281649254043,0.4109147833055721,0,2
5,2024-08-29 08:10:41,75.18627560821491,5.27010043363674,0.19468630580046048,3.572339201733833,4.143085372183474,1.8489226003846815,7.235089406629626,5.5076273032015335,3.211312283532096,4.104425581235095,5.145283993120153,4.856026215874973,0.3965409811042909,0,2
3,2024-09-04 08:10:41,61.35787042123839,12.45584879946619,-5.844522804730278,-1.7777077882820893,-2.682516549899082,0.7832728738312278,3.7678137081490957,1.4393358084321677,0.12485526730350904,1.7290720740788,2.7122327875098375,0.6070892479886514,0.1465028185402728,0,0
9,2024-08-30 08:10:41,60.13762784817058,1.5178766454449992,6.5337728864549565,-2.467330872574712,-8.409709036000159,3.9437726399784157,2.26664897404331,1.678783597104897,0.8960976007004622,2.5527545751036156,2.4263043076706277,1.9188101501052395,0.35776555188994824,0,0
6,2024-08-28 08:10:41,57.900687941520566,7.567728474471307,-2.1704258317447587,0.887178801414511,1.3414936622669769,-7.550372298541414,5.1885766772029305,1.8887032666526598,1.8817374622329601,2.894119929656063,3.129741784167286,-0.01120639437742521,0.30443631569283985,1,0
1,2024-08-31 08:10:41,89.30303734662961,7.73323470087708,4.090703990600582,0.7554318977958447,2.502554205586401,1.223599521231432,5.170234314143075,5.539412227005938,4.173328864968941,4.078533764600287,6.829736683902334,4.343798461941389,0.6888664163280851,0,3
3,2024-09-12 08:10:41,75.8964984412555,4.541010671103124,0.2275892041161824,-4.737069760543658,-1.98018697723843,0.1701415737180888,3.0132240005282522,4.675620784186697,3.8165821132350812,5.228225050346932,4.68536892965584,5.5466518771733995,0.42038380375563056,0,2
4,2024-08-31 08:10:41,81.68539958804236,2.769478952577212,-0.846310240794432,5.880395100459908,1.3312456508512232,1.587864843743907,5.424922859750037,3.427319235338554,5.761161505505989,3.088239201961585,4.975292884026711,2.7235474420530292,0.5829538921785682,1,2
